School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Los Angeles Unified,Lou Dantzler Preparatory Charter Elementary,"5940 South Budlong Avenue
Los Angeles 90044
(33.98727063800004, -118.29582667699998)",n/a, K-04,270,27.1,76.3%,33.8,793,Autry Museum; The Music Center; Ryman Arts,Dance,,,,,Visual Art
Los Angeles Unified,Benjamin Franklin Senior High,"820 North Avenue 54
Los Angeles 90042
(34.11630085100006, -118.19911681699995)",n/a, 09-12,1871,29.5,72.2%,22.9,692,Museum of Contemporary Art,,,,,,Visual Art
Los Angeles County Office of Education,Central Juvenile Hall,"1605 Eastlake Avenue
Los Angeles 90033
(34.06364348100004, -118.20594888999995)",2003, 07-12,333,,91.6%,10.1,339,CalArts Community Arts Partnership (CAP),,,,,,Visual Art
Los Angeles Unified,Hollenbeck Middle,"2510 East Sixth Street
Los Angeles 90023
(34.03698468500005, -118.21269069699997)",n/a, 06-08,1366,22.5,83.9%,17.5,673,Broad Stage; MaryChristine Pena,,,,Music/Opera,,Visual Art
Los Angeles Unified,Laurel Elementary,"925 North Hayworth Avenue
Los Angeles 90046
(34.087990439000066, -118.36274198699999)",n/a, K-08,403,24,69%,18.7,789,LA County Museum of Art; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Westminster Avenue Elementary,"1010 Abbott Kinney Boulevard
Venice 90291
(33.99211367800007, -118.47220414999998)",n/a, K-05,346,20.4,76.9%,18.2,,Autry Museum; Museum of Contemporary Art; Young Storytellers Foundation,,Literature,,,Theatre,Visual Art
Los Angeles Unified,Menlo Avenue Elementary,"4156 Menlo Avenue
Los Angeles 90037
(34.00781006100004, -118.28997654199998)",n/a, K-05,775,22.8,89.9%,19.9,783,Autry Museum; The Music Center,Dance,,,,,Visual Art
Long Beach Unified,Hoover Middle,"3501 Country Club Drive
Lakewood 90712
(33.83975753800007, -118.15149310199996)",n/a, 06-08,992,32,67.1%,26.1,864,Long Beach Opera,,,,Music/Opera,,
Norwalk-La Mirada Unified,Gardenhill Elementary,"14607 East Gardenhill Drive
La Mirada 90638
(33.91072787600007, -118.02159050099999)",2003, K-05,698,27.9,40.7%,26.8,911,La Mirada Symphony Association,,,,Music/Opera,,
Los Angeles Unified,One Hundred Thirty-Fifth Street Elementary,"801 West 135th Street
Gardena 90247
(33.90918856500008, -118.28940961999996)",n/a, K-05,753,23,93%,20.4,761,Autry Museum; Dr. Melanie Andrews; Los Angeles Chamber Orchestra,,,,Music/Opera,Theatre,Visual Art
Palmdale Elementary,Cimarron Elementary,"36940 45th Street East
Palmdale 93552
(34.554211391000024, -118.04972157499998)",2007, K-07,856,28.5,83.1%,29.5,818,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Mountain View Elementary,"6410 Olcott Street
Tujunga 91042
(34.24844683400005, -118.27129574999998)",n/a, K-05,424,24.9,53.5%,22.9,872,Guild Opera Co.; Skirball Cultural Center,,,,Music/Opera,,Visual Art
Manhattan Beach Unified,Meadows Avenue Elementary,"1200 Meadows Avenue
Manhattan Beach 90266
(33.88833381400008, -118.39171641599995)",2008, K-05,498,24.9,2%,22.2,951,Maire Clerkin; The Music Center,Dance,Literature,,,Theatre,
ABC Unified,Patricia Nixon Elementary,"19600 Jacob Avenue
Cerritos 90703
(33.852109118000044, -118.07652706599998)",2005, K-06,707,27.1,35.6%,26.7,887,Southland Opera,,,Media Arts,,,
Los Angeles Unified,Allesandro Elementary,"2210 Riverside Drive
Los Angeles 90039
(34.10257141300008, -118.25166317199995)",n/a, K-06,458,22.9,80.1%,20.8,831,Autry Museum,,,,,,Visual Art
Inglewood Unified,Hudnall (Claude) Elementary,"331 West Olive
Inglewood 90301
(33.96041229600007, -118.36025469699996)",2006, K-06,426,28.4,71.6%,28.4,766,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Academy of Medical & Health Sciences at Roosevelt High,"456 South Mathews St.
Los Angeles 90033
(34.03920404000007, -118.21122855599998)",n/a, 09-12,449,16.4,79.7%,15,564,826LA,,Literature,,,,
Baldwin Park Unified,Baldwin Park High,"3900 North Puente Avenue
Baldwin Park 91706
(34.084307747000025, -117.94989669699999)",n/a, 08-12,2297,19.6,79.7%,24.4,722,American Museum of Ceramic Art; Los Angeles Master Chorale,,,,Music/Opera,,Visual Art
Glendale Unified,Benjamin Franklin Elementary,"1610 Lake Street
Glendale 91201
(34.16234664000007, -118.29625011899998)",2008, K-06,489,23.3,43.6%,19.6,803,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Paseo del Rey Fundamental,"7751 Paseo del Rey
Playa Del Rey 90293
(33.95623382900004, -118.43342795599995)",n/a, K-05,506,25.3,44.7%,24.7,883,The Music Center,,,,Music/Opera,Theatre,
Claremont Unified,Sycamore Elementary,"225 West Eighth Street
Claremont 91711
(34.10163724500006, -117.71715704399998)",2010, K-06,379,26.6,13.7%,25.1,877,Claremont Museum of Art; Inland Pacific Ballet,Dance,,,,,Visual Art
Bellflower Unified,Bellflower High,"15301 South McNab Avenue
Bellflower 90706
(33.89505122000003, -118.11314276599995)",n/a, 07-12,2913,28.3,74.3%,23.5,782,Los Angeles Master Chorale,,,,Music/Opera,,
Norwalk-La Mirada Unified,Cesar Chavez Elementary,"12110 East Walnut Street
Norwalk 90650
(33.903575801000045, -118.07441226999998)",2003, K-06,451,26.5,89.6%,22.6,744,Francis Awe; LA Opera,Dance,,,Music/Opera,,
Los Angeles Unified,Nestle Avenue Charter,"5060 Nestle Avenue
Tarzana 91356
(34.16224002300004, -118.53080689899997)",n/a, K-05,561,23.3,46.2%,22.3,889,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Charnock Road Elementary,"11133 Charnock Road
Los Angeles 90034
(34.017614827000045, -118.41900329899994)",n/a, K-06,363,21.1,72.7%,20.2,796,Autry Museum; Skirball Cultural Center; The Music Center; Will Geer Theatricum Botanicum,Dance,,,Music/Opera,Theatre,Visual Art
Palmdale Elementary,Palmdale Learning Plaza,"38043 Division Street
Palmdale 93551
(34.57345525000005, -118.12940350099996)",2007, K-08,825,25.3,73%,25,836,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Los Angeles Leadership Primary Academy,"2670 Griffin Avenue
Los Angeles 90031
(34.07752515800007, -118.21181344099995)",n/a, K-01,78,18.8,87.2%,19.5,,Autry Museum,,,,,,Visual Art
Los Nietos,Aeolian Elementary,"11600 Aeolian Street
Whittier 90606
(33.96621268800004, -118.067929532)",2010, K-06,538,21.4,97.6%,20.7,809,Autry Museum; Los Angeles Choreographers & Dancers,Dance,,,,,Visual Art
Los Angeles Unified,Canterbury Avenue Elementary,"13670 Montague Street
Pacomia 91331
(34.23421730600006, -118.42956280899995)",n/a, K-05,1107,23,74.7%,21.3,807,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Whittier City Elementary,West Whittier Elementary,"6411 South Norwalk Boulevard
Whittier 90606
(33.986435484000026, -118.06753913199998)",2009, K-05,413,29.3,80.4%,28.7,783,Autry Museum,,,,,,Visual Art
Mountain View Elementary,Monte Vista Elementary,"11111 Thienes Avenue
El Monte 91732
(34.04554673700005, -118.03572687299999)",2006, K-07,634,28.7,88%,28.2,805,LA County Museum of Art; Shakespeare At Play,,,,,Theatre,Visual Art
Castaic Union Elementary,Live Oak Elementary,"27715 Saddleridge Road
Castaic 91384
(34.450346929000034, -118.61916389099997)",2004, K-05,646,21.4,32.4%,19.9,800,The Music Center,Dance,,,,,
Whittier Union High,Pioneer High,"10800 Ben Avon
Whittier 90606
(33.97163983400003, -118.07886132599998)",2009, 09-12,1425,28.2,74.2%,25.6,731,Museum of Latin American Art,,,,,,Visual Art
Los Angeles County Office of Education,Prairie Vista South (ED),"13928 Kornblum Avenue
Hawthorne 90250
(33.90469005700004, -118.33733647699995)",2003,no data,,,,,,Theatre of Hearts/Youth First,,,,,,Visual Art
Los Angeles Unified,Hamlin Charter Academy,"22627 Hamlin Street
West Hills 91307
(34.189037488000054, -118.61913966999998)",n/a, K-05,429,21.2,42%,19.5,874,Autry Museum,,,,,,Visual Art
Long Beach Unified,Longfellow Elementary,"3800 Olive Avenue
Long Beach 90807
(33.826973690000045, -118.18267333899996)",n/a, K-05,1077,30.8,39%,29.1,897,International City Theatre,,,,,Theatre,
William S. Hart Union High,Valencia High,"27801 North Dickason Drive
Valencia 91355
(34.439055531000065, -118.563118869)",n/a, 09-12,2994,31.6,5.4%,25.9,854,"American Museum of Ceramic Art; Santa Clarita Artists' Association, Inc; Santa Clarita Shakespeare Festival",,Literature,,,Theatre,Visual Art
Downey Unified,Columbus Continuation,"12330 Woodruff Avenue
Downey 90241
(33.91981233100006, -118.11666733799996)",n/a, 10-12,386,10,63%,24.1,558,Long Beach Opera,,,,Music/Opera,,
Lennox,Jefferson Elementary,"10322 Condon Avenue
Lennox 90304
(33.94250808900006, -118.35913652099998)",2009, K-05,814,20.5,81.2%,20,812,Kelly Graham,,,,,,Visual Art
Los Angeles Unified,Third Street Elementary,"201 South June Street
Los Angeles 90004
(34.07097211700005, -118.33483109399998)",n/a, K-05,746,24,18.5%,21.9,947,Autry Museum; Wesley Youth Orchestra,,,,Music/Opera,,Visual Art
Santa Monica-Malibu Unified,John Muir Elementary,"2526 Sixth Street
Santa Monica 90405
(34.005756708000035, -118.48045826999999)",2003, K-05,312,25.9,44.6%,24,823,Autry Museum; Broad Stage; Morgan-Wixson Theatre; P.S. ARTS,,,,Music/Opera,Theatre,Visual Art
Bellflower Unified,Mayfair High,"6000 North Woodruff Avenue
Lakewood 90713
(33.864720858000055, -118.11714694499994)",n/a, 07-12,3446,28.6,50%,23.9,798,Museum of Latin American Art,,,,,,Visual Art
Palos Verdes Peninsula Unified,Vista Grande Elementary,"7032 Purpleridge Drive
Rancho Palos Verdes 90275
(33.77169568700003, -118.402152092)",2005, K-05,508,27,1.8%,24.7,936,Palos Verdes Art Center; Shakespeare At Play,,,,,Theatre,Visual Art
Santa Monica-Malibu Unified,Edison Elementary,"2425 Kansas Avenue
Santa Monica 90404
(34.02364569700006, -118.46452025399998)",2003, K-05,453,25.2,51.7%,22,887,Beth Sussman; Morgan-Wixson Theatre; P.S. ARTS; Santa Monica Academy of Music; Santa Monica Museum of Art; The Music Center; UCLA's Visual and Performing Arts Education Program; Young Storytellers Foundation,Dance,Literature,,Music/Opera,Theatre,Visual Art
Hacienda la Puente Unified,Los Altos Elementary,"15565 Los Altos Drive
Hacienda Heights 91745
(33.98823993000008, -117.97809213699998)",2004, K-05,359,21.1,54.3%,21.1,917,Autry Museum,,,,,,Visual Art
Baldwin Park Unified,Foster Elementary,"13900 Foster Avenue
Baldwin Park 91706
(34.07218189300005, -117.97228832799999)",n/a, K-06,713,19.8,87.2%,21.9,829,The Music Center,Dance,,,,,
Inglewood Unified,Wilder's Preparatory Academy Charter,"830 North La Brea Avenue
Inglewood 90302
(33.974351254000055, -118.35761663699998)",2006, K-05,386,21.4,79.5%,21.4,933,Autry Museum,,,,,,Visual Art
Inglewood Unified,ICEF Inglewood Elementary Charter Academy,"434 South Grevillea Avenue
Inglewood 90301
(33.958350669000026, -118.35491684099998)",2006, K-05,248,26.1,62.1%,41.3,,The Music Center,Dance,,,,,
Los Angeles Unified,"Dr. Theo. T. Alexander Jr., Science Center","3737 South Figueroa Street
Los Angeles 90007
(34.016629214000034, -118.28279715099995)",n/a, K-05,644,24.8,76.7%,24.8,776,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Torrance Unified,Walteria Elementary,"24456 Madison Street
Torrance 90505
(33.800819294000064, -118.34780690299999)",n/a, K-05,648,30.9,15.6%,27.1,909,The Music Center,,,,Music/Opera,Theatre,
Alhambra Unified,Repetto Elementary,"650 South Grandridge Avenue
Monterey Park 91754
(34.054038184000035, -118.12830325999994)",2005, K-08,799,28.7,54.7%,23.6,881,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Carpenter Community Charter,"3909 Carpenter Avenue
Studio City 91604
(34.14095507300004, -118.39203759999998)",n/a, K-05,905,23.8,7.1%,22.9,942,Autry Museum; Will Geer Theatricum Botanicum,,,,,Theatre,Visual Art
Los Angeles Unified,Clover Avenue Elementary ,"11020 Clover Avenue
Los Angeles 90034
(34.02750601400004, -118.42547566599995)",n/a, K-05,580,24.9,18.3%,24.2,957,Dancing Classrooms Los Angeles,Dance,,,,,
Norwalk-La Mirada Unified,Los Coyotes Middle,"14640 Mercado Avenue
La Mirada 90638
(33.89875635000004, -117.99032362399998)",2003, 06-08,627,34,34.8%,27.3,852,La Mirada Symphony Association,,,,Music/Opera,,
Los Angeles Unified,Los Angeles Big Picture High,"700 Wilshire Boulevard, Suite 400
Los Angeles 90017
(34.04881631400008, -118.25739462199999)",n/a, 09-12,136,20.8,84.6%,16.8,675,Will Geer Theatricum Botanicum,,,,,Theatre,
Gorman Elementary,Gorman Elementary,"49847 Gorman School Road
Gorman 93243
(34.79609422800007, -118.85273160599996)",n/a, K-08,98,19.6,68.4%,19.6,710,The Music Center,Dance,,,,,
Los Angeles Unified,"Math, Science, & Technology Magnet Academy at Roosevelt High","456 South Mathews Street
Los Angeles 90033
(34.03920404000007, -118.21122855599998)",n/a, 09-12,371,22.4,91.9%,20.6,732,826LA; Geffen Playhouse,,Literature,,,Theatre,
Los Angeles Unified,Clifford Street Elementary ,"2150 Duane Street
Los Angeles 90039
(34.089615157000026, -118.25844089399999)",n/a, K-06,184,22.9,76.6%,20.4,844,Aimee Art Productions,Dance,Literature,Media Arts,,Theatre,Visual Art
Sulphur Springs Union,Pinetree Community Elementary,"29156 Lotusgarden Drive
Canyon Country 91387
(34.43564105400003, -118.40407361299998)",2011, K-06,648,24.7,29.3%,24.9,851,Santa Clarita PAC; Santa Clarita Shakespeare Festival,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Morris K. Hamasaki Elementary,"4865 East First Street
Los Angeles 90022
(34.03702847100004, -118.15988968699997)",n/a, K-06,429,20.4,87.4%,18.7,795,24th Street Theatre Company,,,,,Theatre,
Temple City Unified,Cloverly Elementary,"5476 Cloverly Avenue
Temple City 91780
(34.099366918000044, -118.06227758999995)",2008, 04-06,455,28.4,40.4%,26,922,Autry Museum,,,,,,Visual Art
Downey Unified,Stauffer Middle,"11985 Old River School Road
Downey 90242
(33.937568114000044, -118.15595464499995)",n/a, 06-08,1482,23.2,78.9%,26.9,837,Will Geer Theatricum Botanicum,Dance,,,Music/Opera,,
Long Beach Unified,Jordan High,"6500 Atlantic Avenue
Long Beach 90805
(33.87124263900006, -118.18579888)",n/a, 09-12,3589,29.7,84.5%,24.2,670,Museum of Latin American Art,,,,,,Visual Art
Los Angeles Unified,Russell Elementary,"1263 East Firestone Boulevard
Los Angeles 90001
(33.960189823000064, -118.25231201799994)",n/a, K-06,954,23.8,91%,22.2,749,The Music Center,Dance,,,,,
Los Angeles Unified,Los Angeles School of Global Studies,"322 Lucas Avenue
Los Angeles 90017
(34.05807560300008, -118.26172058799995)",n/a, 09-12,371,27.8,93%,21.1,656,826LA; Shakespeare Center of Los Angel,,Literature,,,Theatre,
Los Angeles Unified,"School of Comminications, New Media and Technology at Roosevelt ","456 South Mathews Street
Los Angeles 90033
(34.03920404000007, -118.21122855599998)",n/a, 09-12,485,21.7,81.6%,18,544,826LA; Casa 0101,,Literature,,,Theatre,
Los Angeles Unified,Valley View Elementary,"6921 Woodrow Wilson Drive
Los Angeles 90068
(34.12479464100005, -118.34464651999997)",n/a, K-06,243,22.2,35.8%,18,834,Dancing Classrooms Los Angeles,Dance,,,,,
Downey Unified,Unsworth Elementary,"9001 Lindsey Avenue
Downey 90240
(33.95652430200005, -118.10609771499998)",n/a, K-05,584,23.4,68.8%,23.4,871,Downey Symphonic Society,,,,Music/Opera,,
South Pasadena Unified,Monterey Hills Elementary,"1624 Via del Rey
South Pasadena 91030
(34.104362829000024, -118.16484982699995)",2007, K-05,581,22.3,13.3%,22.3,939,Museum of Contemporary Art; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Hart Street Elementary,"21040 Hart Street
Canoga Park 91303
(34.19736272500006, -118.59194005799998)",n/a, K-05,816,23.3,86.9%,19.9,705,Autry Museum,,,,,,Visual Art
Los Angeles County Office of Education,Bermudez CCS/IS,"9055 Bermudez
Pico Rivera 90660
(33.97142676300007, -118.10293124499998)",2003,no data,,,,,,Theatre of Hearts/Youth First,,,,,,Visual Art
Los Angeles Unified,Bushnell Way Elementary,"5507 Bushnell Way
Los Angeles 90042
(34.10255873800003, -118.18867368699995)",n/a, K-06,438,24.3,86.3%,20.9,706,Center for the Arts Eagle Rock,,,,,,Visual Art
Los Angeles Unified,Reseda Senior High,"18230 Kittridge Street
Reseda 91335
(34.19021281600004, -118.53003026099998)",n/a, 09-12,1971,26.1,65%,24.2,752,Broad Stage; Kate Randolph; Skirball Cultural Center; The Music Center,,,Media Arts,,Theatre,Visual Art
Covina-Valley Unified,Merwin Elementary,"16125 Cypress
Covina 91722
(34.09608732400005, -117.93366094399994)",2012, K-05,439,20,81.8%,19.6,812,Enrichment Works,,,,,Theatre,
Rosemead Elementary,Savannah Elementary,"3720 North Rio Hondo Avenue
Rosemead 91770
(34.076046768000026, -118.06435212799994)",2003, K-06,585,26.8,90.8%,25.4,817,Pasadena Conservatory of Music,Dance,,,Music/Opera,,
Rowland Unified,Telesis Academy of Science & Math,"2800 E. Hollingworth Street
West Covina 91792
(34.00686894200004, -117.88043134499998)",2011, K-08,581,31.3,70.1%,26.5,795,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Virginia Road Elementary,"2925 Virginia Road
Los Angeles 90016
(34.02928052800007, -118.33951198499994)",n/a, K-05,435,24.1,87.1%,21.8,734,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Antelope Valley Union High,Highland High,"39055 25th Street West
Palmdale 93551
(34.59249342800007, -118.17412741699997)",n/a, 09-12,3235,29.9,53.2%,24,738,Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,
Los Angeles Unified,Abraham Lincoln Senior High,"3501 North Broadway
Los Angeles 90031
(34.07383811400007, -118.20391952699998)",n/a, 09-12,2080,21.6,78.7%,16.6,686,Diavolo Dance Theater; Museum of Contemporary Art; Ryman Arts,Dance,,,,,Visual Art
Los Angeles Unified,New Horizons Charter Academy,"5955 Lankershim Boulevard
North Hollywood 91601
(34.179124408000064, -118.38326642999999)",n/a,no data,,,,,,Inner-City Arts ,Dance,,Media Arts,,,
South Pasadena Unified,Marengo Elementary,"1400 Marengo Avenue
South Pasadena 91030
(34.10991142800003, -118.14667422899998)",2007, K-05,683,23.5,15.4%,23.6,956,The Music Center,Dance,,,,,
Temple City Unified,Emperor Elementary,"6415 Muscatel Avenue
San Gabriel 91775
(34.11598543100007, -118.07812233899995)",2008, K-06,647,26.7,33.8%,25.6,935,Will Geer Theatricum Botanicum,,,,,Theatre,
Sulphur Springs Union,Valley View Elementary,"19414 Sierra Estates Drive
Newhall 91321
(34.398391409000055, -118.47355095099999)",2011, K-06,592,19.2,54.6%,20.6,804,Canyon Theatre Guild; Santa Clarita PAC,Dance,,,Music/Opera,Theatre,Visual Art
Rowland Unified,Nogales High,"401 South Nogales Street
La Puente 91744
(34.01028746700007, -117.88698902299996)",2011, 07-12,2264,27,72.8%,25.4,712,Autry Museum; James Ellison,,,Media Arts,,,Visual Art
Los Angeles Unified,Charles Maclay Middle,"12540 Pierce Avenue
Pacoima 91331
(34.271616917000074, -118.40719241)",n/a, 06-08,885,24.3,90.3%,17,698,LA Opera,,,,Music/Opera,,
Los Angeles Unified,Solano Avenue Elementary,"615 Solano Avenue
Los Angeles 90012
(34.07597905400007, -118.23244541599996)",n/a, K-06,256,25.6,73%,22.3,922,Dancing Classrooms Los Angeles; The Music Center,Dance,,,,,
Los Angeles Unified,San Pedro Street Elementary,"1635 South San Pedro Street
Los Angeles 90015
(34.02905698600006, -118.25652580099995)",n/a, K-05,671,21.6,95.8%,20.3,815,Museum of Latin American Art; Stella Adler Academy & Theatre Los Angeles; The Music Center,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,King/Drew Medical Magnet High,"1601 East 120th Street
Los Angeles 90059
(33.92377907600007, -118.24620237099998)",n/a, 09-12,1633,30.4,82.9%,24.6,781,Broad Stage; Gay Men's Chorus of Los Angeles,,,,Music/Opera,Theatre,
Paramount Unified,Leona Jackson,"7220 Jackson Street
Paramount 90723
(33.885475711000026, -118.17257922299996)",2006, 04-08,757,24.9,91.4%,25.3,788,Robin Kiss,,,,,,Visual Art
